number,title,authors,source_venue,track,openreview_submission_number,decision,archival_status,paper_type,aclpubcheck_status,aclpubcheck_summary,openreview_url,pdf_path,supplementary_files,aclpubcheck_pdf_sha256,checked_at_utc
011,Trust but Verify: Introducing DAVinCI - A Framework for Dual Attribution and Verification in Claim Inference for Language Models,Vipula Rawte; Ryan A. Rossi; Franck Dernoncourt; Nedim Lipka,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,15,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=yjeiiI2x8E,all_papers/011/paper.pdf,,cc9bc78c95b82ca6ee6febd33148d86832e05ea232bf3c49f90b18318e09cb1e,2026-09-23T14:29:59Z
012,Semi-Supervised Learning to Improve Detection of Factual and Causal Errors in Language Models' Explanations,Mingxuan Liu; Han Yuan; Yilin Wu; Li Zhang; Zheng Ma,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,20,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=4rhIRDwDXw,all_papers/012/paper.pdf,,71289fa92920b72d0ba530eeddc99ce496b5ef47d90c27b5cbb8dbd1ffa1afeb,2026-09-23T14:30:02Z
013,Is Safety Grounded or Detachable? Removal-Cost Audits for Open-Weight Language Models,Nedim Mutlu Sezer; Ömer Faruk Aksoy; Feyzi Arda Salihoğlu; Yağız Ekrem Dalar; Ahmet Rıfat Öztürk,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,22,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=eNKpgD8WPe,all_papers/013/paper.pdf,all_papers/013/supplementary/Supplementary_material.zip,0246894dbe9c9509edae0818041e66b00f93f728ee2de98f265a445e753b560a,2026-09-23T14:30:06Z
014,CacheWeaver: Cache-Aware Evidence Ordering for Efficient Grounded RAG Inference,Kaizhen Tan; Rong Gu; Mingyuan Li,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,23,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=JsYPmfhF18,all_papers/014/paper.pdf,,0b5edaa30b45d34c06d7cfb4ff0c322b5a978b17d13f722a0089f49ba360572d,2026-09-23T14:30:10Z
015,Grounding or Lexical Overlap? A Matched-Pair Study of Internals-Based Faithfulness Probes,Kun Zhang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,24,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=6bM2F8stxF,all_papers/015/paper.pdf,all_papers/015/supplementary/Supplementary_material.zip,acddf4dc80651c94d07f11f9059aa3f5a9a6f7aaa6012dfc3154f421a76b4991,2026-09-23T14:30:14Z
016,PARSE: Provenance-Aware Retrieval Sanitization for Professional Domain LLM Agents,Aaditya Pai,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,26,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=42tjFm36EF,all_papers/016/paper.pdf,,385f6c7bfa12a5e057831d40ad72f1556801278359b40fd07fe0bc341d5aca76,2026-09-23T14:30:18Z
017,Does Quantization Erode Grounding? A Faithfulness Audit of On-Device LLM Compression,Neeraj Sai Venkat Movva; Sathvik Loke,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,27,Findings,archival,short,pass,All Clear!,https://openreview.net/forum?id=5UGOGlapVv,all_papers/017/paper.pdf,,33945e535e03384f0d0d4d4ec8aca9b41c96017524185882d5ffeea75e2fe9a5,2026-09-23T14:30:21Z
018,The Citation-Faithfulness Illusion: Measuring Whether Grounded Answers Preserve Source Disagreement,Rob Sneiderman,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,29,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=rUGOJeJp6N,all_papers/018/paper.pdf,,885eb8544496a3309528a6b973cc8bbd874db16d946a807de6417d8cedad309b,2026-09-23T14:30:25Z
019,"Lifecycle Faithfulness for Grounded Retrieval-Augmented Generation: Benchmarks, Evaluation, and the Vera-Life Controller",Zida Yang; Guquan You; Jiexin Zheng; Yijie Peng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,30,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=ZWvGUxDC5l,all_papers/019/paper.pdf,all_papers/019/supplementary/Supplementary_material.zip,e1e3fffd647669827674049342f81ebbfbcdeba13516530722c08f516475280d,2026-09-24T23:18:26Z
020,Do LLM Attribution Metrics Transfer? Auditing Retrieval-Augmented Generation Evaluation Across Datasets and Constructs,Tianyu Ding; Aditya Nannapaneni; Juan Pablo de la Cruz Weinstein,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,31,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=1zbPk6Z3sf,all_papers/020/paper.pdf,,3c803d61430a47d610ab2ddf722f895e211f546f90e8b99b1eaeae990c9baf2c,2026-09-23T14:30:36Z
021,EviScope: Paired Counterfactual Evidence Diagnostics for Faithful and Efficient Grounded Language Models,Suryadeep Singh Deswal,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,34,Findings,archival,short,pass,All Clear!,https://openreview.net/forum?id=4KQuJY53bC,all_papers/021/paper.pdf,all_papers/021/supplementary/Supplementary_material.zip,d3b113ce4cd8321366316a873bc7e23260d0be30e9deddddb3b7713fd57dcf4a,2026-09-23T14:30:40Z
022,Does RAG Know When Retrieval Is Wrong? Diagnosing Context Compliance under Knowledge Conflict,Yihang Chen; Pin Qian; Su Wang; Sipeng Zhang; Huan Xu; Shuhuai Lin; Xinpeng Wei,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,35,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=2N9OSYS8Mv,all_papers/022/paper.pdf,,829b1960c4bf990dc3bb321275ab6ba7fc0c5c0b7e38cd0d714ff4c58ce4b7ab,2026-09-23T14:30:44Z
023,Self-Detect–Refine: Iterative Training Label Refinement Method for Clinical Note Generation,Gin-kyeng Lee; Serim Kim; Harin Jun,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,37,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=xhOfDy37a9,all_papers/023/paper.pdf,,3fbc08c8dbc137a41d045aa79256d281ad7d5679fa113b67e779b99c8f73b6f9,2026-09-23T14:30:50Z
024,Graph Evidence Is Not Text Evidence: Serialization Faithfulness as Structural Invariance in Graph-Grounded Language Models,Lifan Hu,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,39,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=vJAxWaAGiT,all_papers/024/paper.pdf,,1bb584c6cd64445fbb0cee1bc25b857de431dce3703b51505da8814fdaecea41,2026-09-24T23:18:29Z
025,CoSched-Cert: Faithful Multi-Turn Scheduling Dialogue via Solver-Verified Certificates,Zida Yang; Minhao Zou; Yijie Peng,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,42,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=9ZQNCw2f73,all_papers/025/paper.pdf,all_papers/025/supplementary/Supplementary_material.zip,1b4c968f89926ba82c631fc26e8493ea8ef29b0eaa3218458c713da191e6d672,2026-09-23T14:31:03Z
026,The Citation Expansion Trap: Operating-Point Control for Fixed-Answer Multi-Hop RAG Citation Repair,Jiawei Li,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,43,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=VYsdN4dpBJ,all_papers/026/paper.pdf,all_papers/026/supplementary/Supplementary_material.zip,552f00a47be0988367f43032c648511afe5e9207ca07249ff6700e315ee8f2ad,2026-09-23T14:31:06Z
027,Staged Linguistic Seeding: Grounded Query Expansion for Verified-Unit QA in AI Contact Centers,Hyeonseop Yoon; Jeong-eun Park,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,45,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=MPWXKQf8gq,all_papers/027/paper.pdf,,42e7a6bd50fddd0a673c3c9d25b8bd6597b69dd841b813216f5062a8d16424de,2026-09-23T14:31:11Z
028,Structured Pruning and Lightweight Adaptation of Foundation Models for Resource-Efficient Earth Observation,Aniket Ramchandra Munde; Kartheek Kumar Reddy Nareddy; Julia Niebling,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,47,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=ry7ST0K0TJ,all_papers/028/paper.pdf,,946890592332e81d83217d30afaddc2d00d44b6b871c9d1e3245a2cc65ca5929,2026-09-23T14:31:14Z
029,E-SENS: Exclusion-Sensitive Penalization for Negative-Constraint Retrieval,Yerang Kim; Jiyoon Myung; Joohyung Han,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,48,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=TT1OUClA2p,all_papers/029/paper.pdf,,f6247eb8c825f9a3dea24853695f0d811bb39136a656b2212abf1c1358d7534a,2026-09-23T14:31:18Z
030,"How Far Can You Get Without a GPU? A Systematic Benchmark of Lightweight Hallucination Detection Across Question Answering, Dialogue, and Summarisation",Kriti Faujdar; Smit Kadvani,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,51,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=nmhcSyNzJs,all_papers/030/paper.pdf,,5c125b99ccf3717b34c48792eae3f68f91aa0c62507287812f4b733f6494d374,2026-09-23T14:31:22Z
031,Memory Makes the Difference: Evaluating How Different Memory Roles Shape Conversational Agents,Yuxin Wang; Paul Thomas; Zhiwei Yu; Yuan Gao; Saeed Hassanpour; Soroush Vosoughi; Robert Sim; Nick Craswell,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,52,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=q6THlzdjqH,all_papers/031/paper.pdf,,0852dc2d6b06141b9adcaf96687c3bf7a937986d808e9b3bf414e391e38712a7,2026-09-23T14:31:30Z
032,Relational Grounding Failures in Zero-Shot Cross-Lingual Dialogue Summarization with Small Language Models,Yunwoo Lee; Ziwa Li; Jennifer Huang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,53,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=SnNYns5n60,all_papers/032/paper.pdf,,aca7342d6bc397ad18e5c728cd60af3d01ae57e1babe57bb570e8d2024dd9e4f,2026-09-23T14:31:34Z
033,A Randomization-Control Diagnostic for Document Grounding in Self-Distillation Gates,Xiankun Lin; Lixin Liu; Xinyi Lin; Zhezheng Hao,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,54,Findings,archival,short,pass,All Clear!,https://openreview.net/forum?id=Y90brPmLZL,all_papers/033/paper.pdf,all_papers/033/supplementary/Supplementary_material.zip,d84589b00a7a0e04425190a0c7547050e6ff7616f3b7914222f27cff2b55d1fb,2026-09-23T14:31:38Z
034,Safe Adaptive Context and TACER: Task-Aware Evidence Routing for Token-Efficient Retrieval-Augmented Generation,Joel Vazquez Lopez; Andreia Alexa; Kārlis Mārtiņš Auce; Simon Backhaus Brudzewski; Sheraz Ahmad,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,55,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=0yHO3S4Evp,all_papers/034/paper.pdf,all_papers/034/supplementary/Supplementary_material.zip,32531eed09c565ed882f01c5baa382abcd769ae9b070683cfc1cd679ed4e8383,2026-09-23T14:31:43Z
035,When Should an Agent Distrust Its Own Context? Model-Dependent Outcomes of an Audited Reasoning Pipeline,Aditya Channa; Madhav Kapoor; Jastej Singh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,57,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=kNk6XTSYFU,all_papers/035/paper.pdf,,a4555bf19566db0b67fa67da53ecc6e8328bf36fa48af813a733de8cab05bb42,2026-09-23T14:31:46Z
036,What Does Answer Change Rate Actually Measure? A Specificity Audit of Causal Intervention Tests for Explanation Faithfulness,Durgesh Rao; Dr. Shirshendu Layek,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,58,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=J77Co5444D,all_papers/036/paper.pdf,all_papers/036/supplementary/Supplementary_material.zip,d4c8d567a9b809893699511e885c20e4b5dc7441239ecdbae3220d4557833b1e,2026-09-23T14:31:50Z
037,Gradient-Aligned Iterative Fine-Tuning for Adaptive LLM Post-Training,Zhan Shi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,59,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=1XxmanVOUQ,all_papers/037/paper.pdf,,7a01ad6ab94001fe2cf94212094104c0b3d890cc9be1329c111e1d4d4d85bc3b,2026-09-23T14:31:54Z
038,Geometry-Conditioned Turn Scoring for Conversational Memory Compression,Pranav Kompally; Sibi Chakkaravarthy S,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,61,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=XqFFt1fHk2,all_papers/038/paper.pdf,,0a446bac16fe12545a48b2fd6243aabacec10830499938a04da73b1bcffe25a7,2026-09-23T14:31:57Z
039,Faithfulness Is Not Free: Auditing Offline KV-Cache Quantization in Retrieval-Augmented Generation,ATTA UL ASAD; Ahsan Bilal; Muhammad Ali; Muhammad Haseeb; Dean F. Hougen,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,62,Accept,archival,short,pass,All Clear!,https://openreview.net/forum?id=qu9ZxcS4zN,all_papers/039/paper.pdf,,5de96aaeb269a54165cc47dd7fbf1ea7adf65cb74203a73ca49bb4bf5ad11f58,2026-09-24T23:18:33Z
040,Cross-Modal Grounding for Calibrated Confidence in Vision Language Models,Trilok Padhi; Ramneet Kaur; Adam D. Cobb; Manoj Acharya; Colin Samplawski; Brian Matejek; Alexander Michael Berenbeim; Nathaniel D. Bastian; Susmit Jha; Ugur Kursuncu; Anirban Roy,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,63,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=fp859JJsYP,all_papers/040/paper.pdf,,bbc6417d7826906d3d042e55856b9f6ad3e314b965c8b93bd978f371df79ddf4,2026-09-23T14:32:08Z
041,Lost In Translation: Uneven Grounding Degradation Under Cross-Lingual Shift in LLM-Assisted Cyber Threat Intelligence,Lailah Denny,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,64,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=7ctZGcUCET,all_papers/041/paper.pdf,,01db840eb7d71835935873f962581e596b171282363195bf07ffcbefd8198f4d,2026-09-23T14:32:11Z
042,RuleChef: Grounding LLM Task Knowledge in Human-Editable Rules,Ádám Kovács; Nadia Verdha; Gabor Recski,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,65,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=E0BNcb7ppW,all_papers/042/paper.pdf,,46c60839856d024a0340cfc3871bb93e22455953a97db92812e585c74b5cf0a1,2026-09-23T14:32:16Z
043,Compression-Aware Abstention: Teaching LLMs to Refuse When KV-Compression Masks Remove Answer Evidence,Mohammadali Khodabandehlou; Bhaskar Krishnamachari,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,66,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=1GompIHuUR,all_papers/043/paper.pdf,,589b4e81cdbe2dd4e5fda69a998620a61570aca84c53e9b8d5d322282261e1c3,2026-09-23T14:32:21Z
044,Eval-Pair Matrix: Answer-Paired Meta-Evaluation of LLM Judges for Grounded RAG,Sriram Selvam; Anneswa Ghosh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,68,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=gniqmlDzQg,all_papers/044/paper.pdf,,b5fa264c2c93f786dd540b00dd86e967a1da2a556290dce0fc875100e7858067,2026-09-23T14:32:26Z
045,"Beyond Document Grounding: Span-Level Hallucination Detection over Code, Tool Output, and Documents",Ádám Kovács; Bowei He; Xue Liu; István Boros; Szilveszter Tóth; Gabor Recski,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,70,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=yW7LIRvTdh,all_papers/045/paper.pdf,,7646ba259062617c26dfc3b14bd8fdcc595d74bde8a97aeee62acfee6a71bccb,2026-09-23T14:32:30Z
046,Does Retrieval Augmented Generation Collapse When It Retrieves AI-Generated Documents?,Riddhimaan Senapati; Gregory Druck; Chang Zeng; Fabeha Fatima; Rati Rastogi; Ozel Yilmazel,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,71,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=JHwIkYmtxb,all_papers/046/paper.pdf,,23d1a1fb12749df025ef3c4bbfdc0ca2a41aa839470863dd0c2ceae42e56203d,2026-09-23T14:32:35Z
047,"Similar Accuracy, Unequal Evidence: Search APIs as Decision Surfaces for Tool-Using Agents",Sriram Selvam; Anneswa Ghosh,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,72,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=fOrElxUzY8,all_papers/047/paper.pdf,,0045fbb0b5371ba1a3174ae79c8b7982fafc020b4a45675f865bcbf1181c4e9c,2026-09-23T14:32:40Z
048,Latent Truth Decoding: Training Free Mitigation of Sycophancy in Small Language Models,Srutanik Bhaduri; Neelesh Kumar Shukla; Viji Krishnamurthy,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,73,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=2RoOd9mbFs,all_papers/048/paper.pdf,all_papers/048/supplementary/Supplementary_material.zip,ef71aafb0c57b08ec801aeee2ee7a9d5e636f437be6df17961e1df920c511aeb,2026-09-23T14:32:44Z
049,"Stable Scores, Failed Retrieval: Diagnosing RAG Evaluation in Low-Resource Indic Languages",Priyanshi Garg; Jasmin Gustafson; Yingzhe Fan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,74,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=IBbDw0EX5m,all_papers/049/paper.pdf,,b4b2f0b1b79b81078c31d5cb80b8348d0e36de7296be1bb0ca494b7683be37a0,2026-09-23T14:32:48Z
050,Skip One Layer? A Multilingual and Multi-Task Study of Single-Layer Skipping in Modern Language Models,Ayu Purwarianti; Antonio Natthan Krishna; Muhammad Risqi Firdaus; Hanif Muhammad Zhafran; Wilson Tansil; Achmad Imam Kistijantoro; Nur Ahmadi; Rahmat Mulyawan; Dessi Puji Lestari; Gregory Kielian,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,75,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=fXDVmYkmvy,all_papers/050/paper.pdf,,69d8ac96fe61385552e772dd23ddd77d083103a41a2c456b469348532949b448,2026-09-23T14:32:53Z
051,Quality-Aware LLM Data Augmentation for Arabic Dialectal NER,Kahina Houda SAADAOUI; Chaima Abdelaziz; Faiza BELBACHIR; Lynda Said Lhadj,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,76,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=WUKsw6pasc,all_papers/051/paper.pdf,,7c38e8f6c466f4f6526110d6cd5fadb24ee2ad53eb173dc062222be67ac6a8cd,2026-09-23T14:32:58Z
052,Robustness of Diffusion and Autoregressive Language Models to CheckList-Style Perturbations,Aarush Rathore; Tirtharaj Dash; Lovekesh Vig; Ashwin Srinivasan,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,77,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=UYuYrUrtUw,all_papers/052/paper.pdf,all_papers/052/supplementary/Supplementary_material.zip,119c5b1fdd6774089bceb0d0b6120478f6a13d876245eff36b7316e662df4c58,2026-09-23T14:33:02Z
053,DTS: Discriminant Truthfulness Scoring for Gradient-Free Hallucination Detection,Kaustubh Atey; Shreeyam Bangera; Sandeep Kumar; ANKIT KUMAR; Amit Sethi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,80,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=GkNlyaSkdS,all_papers/053/paper.pdf,,2896999ffae8da55b98307edc7d0413083ad6d069ccd2a5a6391dfcdac4d4041,2026-09-23T14:33:07Z
054,Reset Is Not Recovery: Evaluating Recoverability from False Conversational Context via Sycophancy Hysteresis,Adi Shnaidman,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,82,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=gKvFuWRjo9,all_papers/054/paper.pdf,,a05f840b9d25b2e95449f0b4b8657e8be4afc110b5b74886f2fd4da39482f7ec,2026-09-23T14:33:12Z
055,Groundedness Is Not Truth: Evidence-Chain Forensics for Retrieval-Augmented Generation,Samarth Vinayaka,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,83,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=O3gCYanCHN,all_papers/055/paper.pdf,,da82c076e9720ff4544be794e04c06351a7c35ef9d4f0e668549b4ade9f99ba1,2026-09-23T14:33:16Z
056,Human-Perception-Aware but Not Yet Physically Grounded: Strengths and Failure Modes of Frontier Multimodal LLMs and the GroundVQA Benchmark,Qinwu Xu; Xin Liu; Yifan Jiang,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,84,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=sDS62chFOI,all_papers/056/paper.pdf,,1bbd1ccafcc1c9aa2bfd6dfa7cc3df19eefe98ec4461409da2f9cf79e26c39b2,2026-09-26T01:38:47Z
057,"Polite on the Surface, Broken in Practice: A Curated Dataset for Fixing Generation and Register Failures in Low-Resource Bangla Text Generation",Md. Asaduzzaman Shuvo; Mahedi Hasan; Md. Tashin Parvez; Azizul Haque Noman; Md. Shafayet Hossain Ovi,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,86,Findings,archival,long,pass,All Clear!,https://openreview.net/forum?id=ZFjB15YYDC,all_papers/057/paper.pdf,,52bdeb5af2c1db8d340de60310a015f8240a780a1c2d5f123aa9346ea52e47d4,2026-09-23T14:33:24Z
058,"Retrieve, Locate, Generate: An Oracle-Substitution Diagnostic for Literature-Grounded QA",Siddhesh More; Kunal Jadhav,EMNLP/2026/Workshop/GroundLM,Track 1: Direct Submission,87,Accept,archival,long,pass,All Clear!,https://openreview.net/forum?id=1L0wPPDEyh,all_papers/058/paper.pdf,,fe8eff11dec5b8153c62db7976284a7c3e8ade5b229ba29bbb86057d3bf0ef15,2026-09-23T14:33:28Z
